id,title,body,notification_priority,title_tokens,body_tokens
1,फाइभजी मा प्रधानमन्त्री नयाँ कदम,नेपाल को भ्रमण आर्थिक विकास नयाँ ढोका खोल्ने अपेक्षा गरिए छ।,1,"['फाइभजी', 'मा', 'प्रधानमन्त्रीको', 'नयाँ', 'कदम']","['नेपाल', 'को', 'भ्रमणले', 'आर्थिक', 'विकासको', 'नयाँ', 'ढोका', 'खोल्ने', 'अपेक्षा', 'गरिएको', 'छ', '।']"
2,नेपाल मा प्रधानमन्त्री नयाँ कदम,क्रिकेट को निर्णय व्यापक प्रतिक्रिया ल्याए छ।,1,"['नेपाल', 'मा', 'प्रधानमन्त्रीको', 'नयाँ', 'कदम']","['क्रिकेट', 'को', 'निर्णयले', 'व्यापक', 'प्रतिक्रिया', 'ल्याएको', 'छ', '।']"
3,चीन फाइनल खेल तयारी,ओलम्पिक प्रतियोगिता नेपाल ऐतिहासिक प्रदर्शन।,0,"['चीन', 'फाइनल', 'खेलको', 'तयारी']","['ओलम्पिक', 'प्रतियोगितामा', 'नेपालको', 'ऐतिहासिक', 'प्रदर्शन', '।']"
4,चीन सम्बन्ध नयाँ मस्यौदा,नेपाल को निर्णय व्यापक प्रतिक्रिया ल्याए छ।,1,"['चीन', 'सम्बन्धमा', 'नयाँ', 'मस्यौदा']","['नेपाल', 'को', 'निर्णयले', 'व्यापक', 'प्रतिक्रिया', 'ल्याएको', 'छ', '।']"
5,एआई ले नयाँ उपकरण सार्वजनिक गर्यो,ओलम्पिक मा एआई प्रविधि प्रयोग सुधार ल्याउने अपेक्षा।,0,"['एआई', 'ले', 'नयाँ', 'उपकरण', 'सार्वजनिक', 'गर्यो']","['ओलम्पिक', 'मा', 'एआई', 'प्रविधिको', 'प्रयोगले', 'सुधार', 'ल्याउने', 'अपेक्षा', '।']"
6,भारत ले नयाँ उपकरण सार्वजनिक गर्यो,ओलम्पिक मा एआई प्रविधि प्रयोग सुधार ल्याउने अपेक्षा।,1,"['भारत', 'ले', 'नयाँ', 'उपकरण', 'सार्वजनिक', 'गर्यो']","['ओलम्पिक', 'मा', 'एआई', 'प्रविधिको', 'प्रयोगले', 'सुधार', 'ल्याउने', 'अपेक्षा', '।']"
7,चीन नेटवर्क सुरुवात,एआई को सुरुवात भविष्य गति थप्नेछ।,1,"['चीन', 'नेटवर्कको', 'सुरुवात']","['एआई', 'को', 'सुरुवातले', 'भविष्यमा', 'गति', 'थप्नेछ', '।']"
8,एआई फाइनल खेल तयारी,फाइभजी खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,0,"['एआई', 'फाइनल', 'खेलको', 'तयारी']","['फाइभजी', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
9,भारत मा प्रधानमन्त्री नयाँ कदम,फाइभजी को भ्रमण आर्थिक विकास नयाँ ढोका खोल्ने अपेक्षा गरिए छ।,1,"['भारत', 'मा', 'प्रधानमन्त्रीको', 'नयाँ', 'कदम']","['फाइभजी', 'को', 'भ्रमणले', 'आर्थिक', 'विकासको', 'नयाँ', 'ढोका', 'खोल्ने', 'अपेक्षा', 'गरिएको', 'छ', '।']"
10,ओलम्पिक प्रविधि नयाँ प्रयोग,चीन ले नयाँ उत्पाद बजार चकित पारे छ।,0,"['ओलम्पिक', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['चीन', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
11,चीन फाइनल खेल तयारी,क्रिकेट खेल दर्शक ध्यान ताने छ।,0,"['चीन', 'फाइनल', 'खेलको', 'तयारी']","['क्रिकेट', 'खेलले', 'दर्शकको', 'ध्यान', 'तानेको', 'छ', '।']"
12,नेपाल सम्बन्ध नयाँ मस्यौदा,भारत को भ्रमण आर्थिक विकास नयाँ ढोका खोल्ने अपेक्षा गरिए छ।,1,"['नेपाल', 'सम्बन्धमा', 'नयाँ', 'मस्यौदा']","['भारत', 'को', 'भ्रमणले', 'आर्थिक', 'विकासको', 'नयाँ', 'ढोका', 'खोल्ने', 'अपेक्षा', 'गरिएको', 'छ', '।']"
13,नेपाल ले नयाँ उपकरण सार्वजनिक गर्यो,एआई ले नयाँ उत्पाद बजार चकित पारे छ।,0,"['नेपाल', 'ले', 'नयाँ', 'उपकरण', 'सार्वजनिक', 'गर्यो']","['एआई', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
14,चीन प्रविधि नयाँ प्रयोग,चीन को सुरुवात भविष्य गति थप्नेछ।,0,"['चीन', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['चीन', 'को', 'सुरुवातले', 'भविष्यमा', 'गति', 'थप्नेछ', '।']"
15,क्रिकेट मा नेपाल ऐतिहासिक जीत,भारत खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,1,"['क्रिकेट', 'मा', 'नेपालको', 'ऐतिहासिक', 'जीत']","['भारत', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
16,चीन खेलाडी स्वर्ण जिते,नेपाल खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,1,"['चीन', 'खेलाडीले', 'स्वर्ण', 'जिते']","['नेपाल', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
17,फाइभजी खेलाडी स्वर्ण जिते,फाइभजी खेल दर्शक ध्यान ताने छ।,0,"['फाइभजी', 'खेलाडीले', 'स्वर्ण', 'जिते']","['फाइभजी', 'खेलले', 'दर्शकको', 'ध्यान', 'तानेको', 'छ', '।']"
18,ओलम्पिक सम्बन्ध नयाँ मस्यौदा,ओलम्पिक को भ्रमण आर्थिक विकास नयाँ ढोका खोल्ने अपेक्षा गरिए छ।,0,"['ओलम्पिक', 'सम्बन्धमा', 'नयाँ', 'मस्यौदा']","['ओलम्पिक', 'को', 'भ्रमणले', 'आर्थिक', 'विकासको', 'नयाँ', 'ढोका', 'खोल्ने', 'अपेक्षा', 'गरिएको', 'छ', '।']"
19,एआई संसद् बैठक स्थगित,ओलम्पिक को भ्रमण आर्थिक विकास नयाँ ढोका खोल्ने अपेक्षा गरिए छ।,0,"['एआई', 'संसद्', 'बैठक', 'स्थगित']","['ओलम्पिक', 'को', 'भ्रमणले', 'आर्थिक', 'विकासको', 'नयाँ', 'ढोका', 'खोल्ने', 'अपेक्षा', 'गरिएको', 'छ', '।']"
20,भारत मा प्रधानमन्त्री नयाँ कदम,चीन को निर्णय व्यापक प्रतिक्रिया ल्याए छ।,0,"['भारत', 'मा', 'प्रधानमन्त्रीको', 'नयाँ', 'कदम']","['चीन', 'को', 'निर्णयले', 'व्यापक', 'प्रतिक्रिया', 'ल्याएको', 'छ', '।']"
21,ओलम्पिक ले नयाँ उपकरण सार्वजनिक गर्यो,चीन ले नयाँ उत्पाद बजार चकित पारे छ।,0,"['ओलम्पिक', 'ले', 'नयाँ', 'उपकरण', 'सार्वजनिक', 'गर्यो']","['चीन', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
22,चीन संसद् बैठक स्थगित,भारत को निर्णय व्यापक प्रतिक्रिया ल्याए छ।,0,"['चीन', 'संसद्', 'बैठक', 'स्थगित']","['भारत', 'को', 'निर्णयले', 'व्यापक', 'प्रतिक्रिया', 'ल्याएको', 'छ', '।']"
23,ओलम्पिक नेटवर्क सुरुवात,भारत को सुरुवात भविष्य गति थप्नेछ।,0,"['ओलम्पिक', 'नेटवर्कको', 'सुरुवात']","['भारत', 'को', 'सुरुवातले', 'भविष्यमा', 'गति', 'थप्नेछ', '।']"
24,फाइभजी प्रविधि नयाँ प्रयोग,ओलम्पिक मा एआई प्रविधि प्रयोग सुधार ल्याउने अपेक्षा।,1,"['फाइभजी', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['ओलम्पिक', 'मा', 'एआई', 'प्रविधिको', 'प्रयोगले', 'सुधार', 'ल्याउने', 'अपेक्षा', '।']"
25,ओलम्पिक संसद् बैठक स्थगित,क्रिकेट सम्बन्ध सरकार तर्फ चासो व्यक्त।,1,"['ओलम्पिक', 'संसद्', 'बैठक', 'स्थगित']","['क्रिकेट', 'सम्बन्धमा', 'सरकारको', 'तर्फबाट', 'चासो', 'व्यक्त', '।']"
26,भारत खेलाडी स्वर्ण जिते,चीन खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,0,"['भारत', 'खेलाडीले', 'स्वर्ण', 'जिते']","['चीन', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
27,ओलम्पिक नेटवर्क सुरुवात,क्रिकेट को सुरुवात भविष्य गति थप्नेछ।,0,"['ओलम्पिक', 'नेटवर्कको', 'सुरुवात']","['क्रिकेट', 'को', 'सुरुवातले', 'भविष्यमा', 'गति', 'थप्नेछ', '।']"
28,भारत प्रविधि नयाँ प्रयोग,ओलम्पिक ले नयाँ उत्पाद बजार चकित पारे छ।,0,"['भारत', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['ओलम्पिक', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
29,चीन मा प्रधानमन्त्री नयाँ कदम,भारत सम्बन्ध सरकार तर्फ चासो व्यक्त।,0,"['चीन', 'मा', 'प्रधानमन्त्रीको', 'नयाँ', 'कदम']","['भारत', 'सम्बन्धमा', 'सरकारको', 'तर्फबाट', 'चासो', 'व्यक्त', '।']"
30,ओलम्पिक मा प्रधानमन्त्री नयाँ कदम,क्रिकेट को भ्रमण आर्थिक विकास नयाँ ढोका खोल्ने अपेक्षा गरिए छ।,0,"['ओलम्पिक', 'मा', 'प्रधानमन्त्रीको', 'नयाँ', 'कदम']","['क्रिकेट', 'को', 'भ्रमणले', 'आर्थिक', 'विकासको', 'नयाँ', 'ढोका', 'खोल्ने', 'अपेक्षा', 'गरिएको', 'छ', '।']"
31,नेपाल प्रविधि नयाँ प्रयोग,नेपाल मा एआई प्रविधि प्रयोग सुधार ल्याउने अपेक्षा।,1,"['नेपाल', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['नेपाल', 'मा', 'एआई', 'प्रविधिको', 'प्रयोगले', 'सुधार', 'ल्याउने', 'अपेक्षा', '।']"
32,ओलम्पिक मा नेपाल ऐतिहासिक जीत,ओलम्पिक खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,0,"['ओलम्पिक', 'मा', 'नेपालको', 'ऐतिहासिक', 'जीत']","['ओलम्पिक', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
33,क्रिकेट सम्बन्ध नयाँ मस्यौदा,ओलम्पिक सम्बन्ध सरकार तर्फ चासो व्यक्त।,0,"['क्रिकेट', 'सम्बन्धमा', 'नयाँ', 'मस्यौदा']","['ओलम्पिक', 'सम्बन्धमा', 'सरकारको', 'तर्फबाट', 'चासो', 'व्यक्त', '।']"
34,नेपाल प्रविधि नयाँ प्रयोग,क्रिकेट मा एआई प्रविधि प्रयोग सुधार ल्याउने अपेक्षा।,1,"['नेपाल', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['क्रिकेट', 'मा', 'एआई', 'प्रविधिको', 'प्रयोगले', 'सुधार', 'ल्याउने', 'अपेक्षा', '।']"
35,ओलम्पिक नेटवर्क सुरुवात,नेपाल ले नयाँ उत्पाद बजार चकित पारे छ।,1,"['ओलम्पिक', 'नेटवर्कको', 'सुरुवात']","['नेपाल', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
36,एआई नेटवर्क सुरुवात,एआई को सुरुवात भविष्य गति थप्नेछ।,1,"['एआई', 'नेटवर्कको', 'सुरुवात']","['एआई', 'को', 'सुरुवातले', 'भविष्यमा', 'गति', 'थप्नेछ', '।']"
37,एआई फाइनल खेल तयारी,एआई प्रतियोगिता नेपाल ऐतिहासिक प्रदर्शन।,0,"['एआई', 'फाइनल', 'खेलको', 'तयारी']","['एआई', 'प्रतियोगितामा', 'नेपालको', 'ऐतिहासिक', 'प्रदर्शन', '।']"
38,एआई प्रविधि नयाँ प्रयोग,क्रिकेट ले नयाँ उत्पाद बजार चकित पारे छ।,0,"['एआई', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['क्रिकेट', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
39,एआई प्रविधि नयाँ प्रयोग,भारत ले नयाँ उत्पाद बजार चकित पारे छ।,0,"['एआई', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['भारत', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
40,फाइभजी मा नेपाल ऐतिहासिक जीत,एआई खेल दर्शक ध्यान ताने छ।,0,"['फाइभजी', 'मा', 'नेपालको', 'ऐतिहासिक', 'जीत']","['एआई', 'खेलले', 'दर्शकको', 'ध्यान', 'तानेको', 'छ', '।']"
41,क्रिकेट प्रविधि नयाँ प्रयोग,चीन मा एआई प्रविधि प्रयोग सुधार ल्याउने अपेक्षा।,0,"['क्रिकेट', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['चीन', 'मा', 'एआई', 'प्रविधिको', 'प्रयोगले', 'सुधार', 'ल्याउने', 'अपेक्षा', '।']"
42,क्रिकेट प्रविधि नयाँ प्रयोग,फाइभजी मा एआई प्रविधि प्रयोग सुधार ल्याउने अपेक्षा।,1,"['क्रिकेट', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['फाइभजी', 'मा', 'एआई', 'प्रविधिको', 'प्रयोगले', 'सुधार', 'ल्याउने', 'अपेक्षा', '।']"
43,भारत सम्बन्ध नयाँ मस्यौदा,एआई को भ्रमण आर्थिक विकास नयाँ ढोका खोल्ने अपेक्षा गरिए छ।,0,"['भारत', 'सम्बन्धमा', 'नयाँ', 'मस्यौदा']","['एआई', 'को', 'भ्रमणले', 'आर्थिक', 'विकासको', 'नयाँ', 'ढोका', 'खोल्ने', 'अपेक्षा', 'गरिएको', 'छ', '।']"
44,नेपाल मा नेपाल ऐतिहासिक जीत,ओलम्पिक प्रतियोगिता नेपाल ऐतिहासिक प्रदर्शन।,0,"['नेपाल', 'मा', 'नेपालको', 'ऐतिहासिक', 'जीत']","['ओलम्पिक', 'प्रतियोगितामा', 'नेपालको', 'ऐतिहासिक', 'प्रदर्शन', '।']"
45,नेपाल खेलाडी स्वर्ण जिते,क्रिकेट खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,0,"['नेपाल', 'खेलाडीले', 'स्वर्ण', 'जिते']","['क्रिकेट', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
46,चीन सम्बन्ध नयाँ मस्यौदा,नेपाल को निर्णय व्यापक प्रतिक्रिया ल्याए छ।,1,"['चीन', 'सम्बन्धमा', 'नयाँ', 'मस्यौदा']","['नेपाल', 'को', 'निर्णयले', 'व्यापक', 'प्रतिक्रिया', 'ल्याएको', 'छ', '।']"
47,नेपाल मा नेपाल ऐतिहासिक जीत,क्रिकेट प्रतियोगिता नेपाल ऐतिहासिक प्रदर्शन।,1,"['नेपाल', 'मा', 'नेपालको', 'ऐतिहासिक', 'जीत']","['क्रिकेट', 'प्रतियोगितामा', 'नेपालको', 'ऐतिहासिक', 'प्रदर्शन', '।']"
48,ओलम्पिक खेलाडी स्वर्ण जिते,क्रिकेट खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,0,"['ओलम्पिक', 'खेलाडीले', 'स्वर्ण', 'जिते']","['क्रिकेट', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
49,ओलम्पिक खेलाडी स्वर्ण जिते,भारत प्रतियोगिता नेपाल ऐतिहासिक प्रदर्शन।,0,"['ओलम्पिक', 'खेलाडीले', 'स्वर्ण', 'जिते']","['भारत', 'प्रतियोगितामा', 'नेपालको', 'ऐतिहासिक', 'प्रदर्शन', '।']"
50,एआई संसद् बैठक स्थगित,भारत को निर्णय व्यापक प्रतिक्रिया ल्याए छ।,1,"['एआई', 'संसद्', 'बैठक', 'स्थगित']","['भारत', 'को', 'निर्णयले', 'व्यापक', 'प्रतिक्रिया', 'ल्याएको', 'छ', '।']"
51,एआई नेटवर्क सुरुवात,एआई मा एआई प्रविधि प्रयोग सुधार ल्याउने अपेक्षा।,1,"['एआई', 'नेटवर्कको', 'सुरुवात']","['एआई', 'मा', 'एआई', 'प्रविधिको', 'प्रयोगले', 'सुधार', 'ल्याउने', 'अपेक्षा', '।']"
52,क्रिकेट प्रविधि नयाँ प्रयोग,फाइभजी मा एआई प्रविधि प्रयोग सुधार ल्याउने अपेक्षा।,0,"['क्रिकेट', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['फाइभजी', 'मा', 'एआई', 'प्रविधिको', 'प्रयोगले', 'सुधार', 'ल्याउने', 'अपेक्षा', '।']"
53,एआई खेलाडी स्वर्ण जिते,नेपाल प्रतियोगिता नेपाल ऐतिहासिक प्रदर्शन।,0,"['एआई', 'खेलाडीले', 'स्वर्ण', 'जिते']","['नेपाल', 'प्रतियोगितामा', 'नेपालको', 'ऐतिहासिक', 'प्रदर्शन', '।']"
54,चीन ले नयाँ उपकरण सार्वजनिक गर्यो,ओलम्पिक ले नयाँ उत्पाद बजार चकित पारे छ।,1,"['चीन', 'ले', 'नयाँ', 'उपकरण', 'सार्वजनिक', 'गर्यो']","['ओलम्पिक', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
55,एआई नेटवर्क सुरुवात,क्रिकेट को सुरुवात भविष्य गति थप्नेछ।,1,"['एआई', 'नेटवर्कको', 'सुरुवात']","['क्रिकेट', 'को', 'सुरुवातले', 'भविष्यमा', 'गति', 'थप्नेछ', '।']"
56,क्रिकेट ले नयाँ उपकरण सार्वजनिक गर्यो,ओलम्पिक मा एआई प्रविधि प्रयोग सुधार ल्याउने अपेक्षा।,0,"['क्रिकेट', 'ले', 'नयाँ', 'उपकरण', 'सार्वजनिक', 'गर्यो']","['ओलम्पिक', 'मा', 'एआई', 'प्रविधिको', 'प्रयोगले', 'सुधार', 'ल्याउने', 'अपेक्षा', '।']"
57,नेपाल नेटवर्क सुरुवात,क्रिकेट को सुरुवात भविष्य गति थप्नेछ।,0,"['नेपाल', 'नेटवर्कको', 'सुरुवात']","['क्रिकेट', 'को', 'सुरुवातले', 'भविष्यमा', 'गति', 'थप्नेछ', '।']"
58,भारत सम्बन्ध नयाँ मस्यौदा,ओलम्पिक को निर्णय व्यापक प्रतिक्रिया ल्याए छ।,1,"['भारत', 'सम्बन्धमा', 'नयाँ', 'मस्यौदा']","['ओलम्पिक', 'को', 'निर्णयले', 'व्यापक', 'प्रतिक्रिया', 'ल्याएको', 'छ', '।']"
59,एआई नेटवर्क सुरुवात,भारत ले नयाँ उत्पाद बजार चकित पारे छ।,0,"['एआई', 'नेटवर्कको', 'सुरुवात']","['भारत', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
60,फाइभजी संसद् बैठक स्थगित,फाइभजी को भ्रमण आर्थिक विकास नयाँ ढोका खोल्ने अपेक्षा गरिए छ।,0,"['फाइभजी', 'संसद्', 'बैठक', 'स्थगित']","['फाइभजी', 'को', 'भ्रमणले', 'आर्थिक', 'विकासको', 'नयाँ', 'ढोका', 'खोल्ने', 'अपेक्षा', 'गरिएको', 'छ', '।']"
61,एआई सम्बन्ध नयाँ मस्यौदा,फाइभजी को भ्रमण आर्थिक विकास नयाँ ढोका खोल्ने अपेक्षा गरिए छ।,1,"['एआई', 'सम्बन्धमा', 'नयाँ', 'मस्यौदा']","['फाइभजी', 'को', 'भ्रमणले', 'आर्थिक', 'विकासको', 'नयाँ', 'ढोका', 'खोल्ने', 'अपेक्षा', 'गरिएको', 'छ', '।']"
62,क्रिकेट प्रविधि नयाँ प्रयोग,चीन ले नयाँ उत्पाद बजार चकित पारे छ।,1,"['क्रिकेट', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['चीन', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
63,ओलम्पिक मा प्रधानमन्त्री नयाँ कदम,फाइभजी सम्बन्ध सरकार तर्फ चासो व्यक्त।,0,"['ओलम्पिक', 'मा', 'प्रधानमन्त्रीको', 'नयाँ', 'कदम']","['फाइभजी', 'सम्बन्धमा', 'सरकारको', 'तर्फबाट', 'चासो', 'व्यक्त', '।']"
64,क्रिकेट नेटवर्क सुरुवात,भारत ले नयाँ उत्पाद बजार चकित पारे छ।,0,"['क्रिकेट', 'नेटवर्कको', 'सुरुवात']","['भारत', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
65,फाइभजी फाइनल खेल तयारी,क्रिकेट प्रतियोगिता नेपाल ऐतिहासिक प्रदर्शन।,0,"['फाइभजी', 'फाइनल', 'खेलको', 'तयारी']","['क्रिकेट', 'प्रतियोगितामा', 'नेपालको', 'ऐतिहासिक', 'प्रदर्शन', '।']"
66,एआई मा नेपाल ऐतिहासिक जीत,एआई खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,0,"['एआई', 'मा', 'नेपालको', 'ऐतिहासिक', 'जीत']","['एआई', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
67,चीन नेटवर्क सुरुवात,चीन को सुरुवात भविष्य गति थप्नेछ।,0,"['चीन', 'नेटवर्कको', 'सुरुवात']","['चीन', 'को', 'सुरुवातले', 'भविष्यमा', 'गति', 'थप्नेछ', '।']"
68,क्रिकेट सम्बन्ध नयाँ मस्यौदा,एआई को भ्रमण आर्थिक विकास नयाँ ढोका खोल्ने अपेक्षा गरिए छ।,1,"['क्रिकेट', 'सम्बन्धमा', 'नयाँ', 'मस्यौदा']","['एआई', 'को', 'भ्रमणले', 'आर्थिक', 'विकासको', 'नयाँ', 'ढोका', 'खोल्ने', 'अपेक्षा', 'गरिएको', 'छ', '।']"
69,भारत नेटवर्क सुरुवात,फाइभजी को सुरुवात भविष्य गति थप्नेछ।,0,"['भारत', 'नेटवर्कको', 'सुरुवात']","['फाइभजी', 'को', 'सुरुवातले', 'भविष्यमा', 'गति', 'थप्नेछ', '।']"
70,भारत सम्बन्ध नयाँ मस्यौदा,एआई को निर्णय व्यापक प्रतिक्रिया ल्याए छ।,0,"['भारत', 'सम्बन्धमा', 'नयाँ', 'मस्यौदा']","['एआई', 'को', 'निर्णयले', 'व्यापक', 'प्रतिक्रिया', 'ल्याएको', 'छ', '।']"
71,चीन मा नेपाल ऐतिहासिक जीत,चीन खेल दर्शक ध्यान ताने छ।,0,"['चीन', 'मा', 'नेपालको', 'ऐतिहासिक', 'जीत']","['चीन', 'खेलले', 'दर्शकको', 'ध्यान', 'तानेको', 'छ', '।']"
