id,title,body,notification_priority,title_tokens,body_tokens
144,नेपाल नेटवर्क सुरुवात,नेपाल को सुरुवात भविष्य गति थप्नेछ।,1,"['नेपाल', 'नेटवर्कको', 'सुरुवात']","['नेपाल', 'को', 'सुरुवातले', 'भविष्यमा', 'गति', 'थप्नेछ', '।']"
145,चीन सम्बन्ध नयाँ मस्यौदा,फाइभजी सम्बन्ध सरकार तर्फ चासो व्यक्त।,0,"['चीन', 'सम्बन्धमा', 'नयाँ', 'मस्यौदा']","['फाइभजी', 'सम्बन्धमा', 'सरकारको', 'तर्फबाट', 'चासो', 'व्यक्त', '।']"
146,क्रिकेट प्रविधि नयाँ प्रयोग,फाइभजी ले नयाँ उत्पाद बजार चकित पारे छ।,0,"['क्रिकेट', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['फाइभजी', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
147,एआई फाइनल खेल तयारी,चीन प्रतियोगिता नेपाल ऐतिहासिक प्रदर्शन।,0,"['एआई', 'फाइनल', 'खेलको', 'तयारी']","['चीन', 'प्रतियोगितामा', 'नेपालको', 'ऐतिहासिक', 'प्रदर्शन', '।']"
148,नेपाल मा प्रधानमन्त्री नयाँ कदम,चीन को निर्णय व्यापक प्रतिक्रिया ल्याए छ।,0,"['नेपाल', 'मा', 'प्रधानमन्त्रीको', 'नयाँ', 'कदम']","['चीन', 'को', 'निर्णयले', 'व्यापक', 'प्रतिक्रिया', 'ल्याएको', 'छ', '।']"
149,चीन ले नयाँ उपकरण सार्वजनिक गर्यो,नेपाल ले नयाँ उत्पाद बजार चकित पारे छ।,0,"['चीन', 'ले', 'नयाँ', 'उपकरण', 'सार्वजनिक', 'गर्यो']","['नेपाल', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
150,फाइभजी मा प्रधानमन्त्री नयाँ कदम,भारत को निर्णय व्यापक प्रतिक्रिया ल्याए छ।,0,"['फाइभजी', 'मा', 'प्रधानमन्त्रीको', 'नयाँ', 'कदम']","['भारत', 'को', 'निर्णयले', 'व्यापक', 'प्रतिक्रिया', 'ल्याएको', 'छ', '।']"
151,भारत नेटवर्क सुरुवात,एआई ले नयाँ उत्पाद बजार चकित पारे छ।,0,"['भारत', 'नेटवर्कको', 'सुरुवात']","['एआई', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
152,एआई संसद् बैठक स्थगित,नेपाल को भ्रमण आर्थिक विकास नयाँ ढोका खोल्ने अपेक्षा गरिए छ।,0,"['एआई', 'संसद्', 'बैठक', 'स्थगित']","['नेपाल', 'को', 'भ्रमणले', 'आर्थिक', 'विकासको', 'नयाँ', 'ढोका', 'खोल्ने', 'अपेक्षा', 'गरिएको', 'छ', '।']"
153,क्रिकेट मा प्रधानमन्त्री नयाँ कदम,एआई को भ्रमण आर्थिक विकास नयाँ ढोका खोल्ने अपेक्षा गरिए छ।,0,"['क्रिकेट', 'मा', 'प्रधानमन्त्रीको', 'नयाँ', 'कदम']","['एआई', 'को', 'भ्रमणले', 'आर्थिक', 'विकासको', 'नयाँ', 'ढोका', 'खोल्ने', 'अपेक्षा', 'गरिएको', 'छ', '।']"
154,क्रिकेट खेलाडी स्वर्ण जिते,एआई खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,1,"['क्रिकेट', 'खेलाडीले', 'स्वर्ण', 'जिते']","['एआई', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
155,फाइभजी खेलाडी स्वर्ण जिते,भारत खेल दर्शक ध्यान ताने छ।,0,"['फाइभजी', 'खेलाडीले', 'स्वर्ण', 'जिते']","['भारत', 'खेलले', 'दर्शकको', 'ध्यान', 'तानेको', 'छ', '।']"
156,एआई मा प्रधानमन्त्री नयाँ कदम,क्रिकेट को निर्णय व्यापक प्रतिक्रिया ल्याए छ।,1,"['एआई', 'मा', 'प्रधानमन्त्रीको', 'नयाँ', 'कदम']","['क्रिकेट', 'को', 'निर्णयले', 'व्यापक', 'प्रतिक्रिया', 'ल्याएको', 'छ', '।']"
157,एआई मा नेपाल ऐतिहासिक जीत,क्रिकेट प्रतियोगिता नेपाल ऐतिहासिक प्रदर्शन।,0,"['एआई', 'मा', 'नेपालको', 'ऐतिहासिक', 'जीत']","['क्रिकेट', 'प्रतियोगितामा', 'नेपालको', 'ऐतिहासिक', 'प्रदर्शन', '।']"
158,एआई संसद् बैठक स्थगित,भारत को भ्रमण आर्थिक विकास नयाँ ढोका खोल्ने अपेक्षा गरिए छ।,0,"['एआई', 'संसद्', 'बैठक', 'स्थगित']","['भारत', 'को', 'भ्रमणले', 'आर्थिक', 'विकासको', 'नयाँ', 'ढोका', 'खोल्ने', 'अपेक्षा', 'गरिएको', 'छ', '।']"
159,ओलम्पिक संसद् बैठक स्थगित,एआई सम्बन्ध सरकार तर्फ चासो व्यक्त।,0,"['ओलम्पिक', 'संसद्', 'बैठक', 'स्थगित']","['एआई', 'सम्बन्धमा', 'सरकारको', 'तर्फबाट', 'चासो', 'व्यक्त', '।']"
160,नेपाल मा नेपाल ऐतिहासिक जीत,क्रिकेट खेल दर्शक ध्यान ताने छ।,0,"['नेपाल', 'मा', 'नेपालको', 'ऐतिहासिक', 'जीत']","['क्रिकेट', 'खेलले', 'दर्शकको', 'ध्यान', 'तानेको', 'छ', '।']"
161,ओलम्पिक ले नयाँ उपकरण सार्वजनिक गर्यो,भारत को सुरुवात भविष्य गति थप्नेछ।,0,"['ओलम्पिक', 'ले', 'नयाँ', 'उपकरण', 'सार्वजनिक', 'गर्यो']","['भारत', 'को', 'सुरुवातले', 'भविष्यमा', 'गति', 'थप्नेछ', '।']"
162,भारत मा प्रधानमन्त्री नयाँ कदम,क्रिकेट सम्बन्ध सरकार तर्फ चासो व्यक्त।,1,"['भारत', 'मा', 'प्रधानमन्त्रीको', 'नयाँ', 'कदम']","['क्रिकेट', 'सम्बन्धमा', 'सरकारको', 'तर्फबाट', 'चासो', 'व्यक्त', '।']"
163,नेपाल संसद् बैठक स्थगित,फाइभजी को भ्रमण आर्थिक विकास नयाँ ढोका खोल्ने अपेक्षा गरिए छ।,0,"['नेपाल', 'संसद्', 'बैठक', 'स्थगित']","['फाइभजी', 'को', 'भ्रमणले', 'आर्थिक', 'विकासको', 'नयाँ', 'ढोका', 'खोल्ने', 'अपेक्षा', 'गरिएको', 'छ', '।']"
164,एआई खेलाडी स्वर्ण जिते,एआई खेल दर्शक ध्यान ताने छ।,0,"['एआई', 'खेलाडीले', 'स्वर्ण', 'जिते']","['एआई', 'खेलले', 'दर्शकको', 'ध्यान', 'तानेको', 'छ', '।']"
165,फाइभजी फाइनल खेल तयारी,भारत प्रतियोगिता नेपाल ऐतिहासिक प्रदर्शन।,1,"['फाइभजी', 'फाइनल', 'खेलको', 'तयारी']","['भारत', 'प्रतियोगितामा', 'नेपालको', 'ऐतिहासिक', 'प्रदर्शन', '।']"
166,एआई ले नयाँ उपकरण सार्वजनिक गर्यो,एआई ले नयाँ उत्पाद बजार चकित पारे छ।,0,"['एआई', 'ले', 'नयाँ', 'उपकरण', 'सार्वजनिक', 'गर्यो']","['एआई', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
167,फाइभजी मा नेपाल ऐतिहासिक जीत,फाइभजी प्रतियोगिता नेपाल ऐतिहासिक प्रदर्शन।,0,"['फाइभजी', 'मा', 'नेपालको', 'ऐतिहासिक', 'जीत']","['फाइभजी', 'प्रतियोगितामा', 'नेपालको', 'ऐतिहासिक', 'प्रदर्शन', '।']"
168,क्रिकेट ले नयाँ उपकरण सार्वजनिक गर्यो,क्रिकेट ले नयाँ उत्पाद बजार चकित पारे छ।,0,"['क्रिकेट', 'ले', 'नयाँ', 'उपकरण', 'सार्वजनिक', 'गर्यो']","['क्रिकेट', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
169,ओलम्पिक फाइनल खेल तयारी,क्रिकेट प्रतियोगिता नेपाल ऐतिहासिक प्रदर्शन।,0,"['ओलम्पिक', 'फाइनल', 'खेलको', 'तयारी']","['क्रिकेट', 'प्रतियोगितामा', 'नेपालको', 'ऐतिहासिक', 'प्रदर्शन', '।']"
170,भारत मा नेपाल ऐतिहासिक जीत,फाइभजी खेल दर्शक ध्यान ताने छ।,1,"['भारत', 'मा', 'नेपालको', 'ऐतिहासिक', 'जीत']","['फाइभजी', 'खेलले', 'दर्शकको', 'ध्यान', 'तानेको', 'छ', '।']"
171,क्रिकेट खेलाडी स्वर्ण जिते,क्रिकेट खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,0,"['क्रिकेट', 'खेलाडीले', 'स्वर्ण', 'जिते']","['क्रिकेट', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
172,नेपाल संसद् बैठक स्थगित,नेपाल सम्बन्ध सरकार तर्फ चासो व्यक्त।,0,"['नेपाल', 'संसद्', 'बैठक', 'स्थगित']","['नेपाल', 'सम्बन्धमा', 'सरकारको', 'तर्फबाट', 'चासो', 'व्यक्त', '।']"
173,भारत मा प्रधानमन्त्री नयाँ कदम,फाइभजी को भ्रमण आर्थिक विकास नयाँ ढोका खोल्ने अपेक्षा गरिए छ।,1,"['भारत', 'मा', 'प्रधानमन्त्रीको', 'नयाँ', 'कदम']","['फाइभजी', 'को', 'भ्रमणले', 'आर्थिक', 'विकासको', 'नयाँ', 'ढोका', 'खोल्ने', 'अपेक्षा', 'गरिएको', 'छ', '।']"
174,चीन ले नयाँ उपकरण सार्वजनिक गर्यो,ओलम्पिक मा एआई प्रविधि प्रयोग सुधार ल्याउने अपेक्षा।,0,"['चीन', 'ले', 'नयाँ', 'उपकरण', 'सार्वजनिक', 'गर्यो']","['ओलम्पिक', 'मा', 'एआई', 'प्रविधिको', 'प्रयोगले', 'सुधार', 'ल्याउने', 'अपेक्षा', '।']"
175,क्रिकेट फाइनल खेल तयारी,क्रिकेट प्रतियोगिता नेपाल ऐतिहासिक प्रदर्शन।,0,"['क्रिकेट', 'फाइनल', 'खेलको', 'तयारी']","['क्रिकेट', 'प्रतियोगितामा', 'नेपालको', 'ऐतिहासिक', 'प्रदर्शन', '।']"
176,ओलम्पिक नेटवर्क सुरुवात,चीन को सुरुवात भविष्य गति थप्नेछ।,1,"['ओलम्पिक', 'नेटवर्कको', 'सुरुवात']","['चीन', 'को', 'सुरुवातले', 'भविष्यमा', 'गति', 'थप्नेछ', '।']"
177,ओलम्पिक सम्बन्ध नयाँ मस्यौदा,फाइभजी को निर्णय व्यापक प्रतिक्रिया ल्याए छ।,0,"['ओलम्पिक', 'सम्बन्धमा', 'नयाँ', 'मस्यौदा']","['फाइभजी', 'को', 'निर्णयले', 'व्यापक', 'प्रतिक्रिया', 'ल्याएको', 'छ', '।']"
178,फाइभजी मा प्रधानमन्त्री नयाँ कदम,एआई सम्बन्ध सरकार तर्फ चासो व्यक्त।,0,"['फाइभजी', 'मा', 'प्रधानमन्त्रीको', 'नयाँ', 'कदम']","['एआई', 'सम्बन्धमा', 'सरकारको', 'तर्फबाट', 'चासो', 'व्यक्त', '।']"
179,नेपाल संसद् बैठक स्थगित,एआई सम्बन्ध सरकार तर्फ चासो व्यक्त।,1,"['नेपाल', 'संसद्', 'बैठक', 'स्थगित']","['एआई', 'सम्बन्धमा', 'सरकारको', 'तर्फबाट', 'चासो', 'व्यक्त', '।']"
180,क्रिकेट फाइनल खेल तयारी,एआई खेल दर्शक ध्यान ताने छ।,0,"['क्रिकेट', 'फाइनल', 'खेलको', 'तयारी']","['एआई', 'खेलले', 'दर्शकको', 'ध्यान', 'तानेको', 'छ', '।']"
181,भारत प्रविधि नयाँ प्रयोग,नेपाल को सुरुवात भविष्य गति थप्नेछ।,0,"['भारत', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['नेपाल', 'को', 'सुरुवातले', 'भविष्यमा', 'गति', 'थप्नेछ', '।']"
182,नेपाल मा नेपाल ऐतिहासिक जीत,नेपाल खेल दर्शक ध्यान ताने छ।,1,"['नेपाल', 'मा', 'नेपालको', 'ऐतिहासिक', 'जीत']","['नेपाल', 'खेलले', 'दर्शकको', 'ध्यान', 'तानेको', 'छ', '।']"
183,भारत मा नेपाल ऐतिहासिक जीत,क्रिकेट खेल दर्शक ध्यान ताने छ।,1,"['भारत', 'मा', 'नेपालको', 'ऐतिहासिक', 'जीत']","['क्रिकेट', 'खेलले', 'दर्शकको', 'ध्यान', 'तानेको', 'छ', '।']"
184,ओलम्पिक मा प्रधानमन्त्री नयाँ कदम,एआई को निर्णय व्यापक प्रतिक्रिया ल्याए छ।,1,"['ओलम्पिक', 'मा', 'प्रधानमन्त्रीको', 'नयाँ', 'कदम']","['एआई', 'को', 'निर्णयले', 'व्यापक', 'प्रतिक्रिया', 'ल्याएको', 'छ', '।']"
185,ओलम्पिक नेटवर्क सुरुवात,एआई को सुरुवात भविष्य गति थप्नेछ।,0,"['ओलम्पिक', 'नेटवर्कको', 'सुरुवात']","['एआई', 'को', 'सुरुवातले', 'भविष्यमा', 'गति', 'थप्नेछ', '।']"
186,फाइभजी नेटवर्क सुरुवात,चीन मा एआई प्रविधि प्रयोग सुधार ल्याउने अपेक्षा।,0,"['फाइभजी', 'नेटवर्कको', 'सुरुवात']","['चीन', 'मा', 'एआई', 'प्रविधिको', 'प्रयोगले', 'सुधार', 'ल्याउने', 'अपेक्षा', '।']"
187,ओलम्पिक फाइनल खेल तयारी,क्रिकेट खेल दर्शक ध्यान ताने छ।,0,"['ओलम्पिक', 'फाइनल', 'खेलको', 'तयारी']","['क्रिकेट', 'खेलले', 'दर्शकको', 'ध्यान', 'तानेको', 'छ', '।']"
188,भारत संसद् बैठक स्थगित,फाइभजी सम्बन्ध सरकार तर्फ चासो व्यक्त।,1,"['भारत', 'संसद्', 'बैठक', 'स्थगित']","['फाइभजी', 'सम्बन्धमा', 'सरकारको', 'तर्फबाट', 'चासो', 'व्यक्त', '।']"
189,क्रिकेट फाइनल खेल तयारी,भारत खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,0,"['क्रिकेट', 'फाइनल', 'खेलको', 'तयारी']","['भारत', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
190,चीन ले नयाँ उपकरण सार्वजनिक गर्यो,चीन मा एआई प्रविधि प्रयोग सुधार ल्याउने अपेक्षा।,1,"['चीन', 'ले', 'नयाँ', 'उपकरण', 'सार्वजनिक', 'गर्यो']","['चीन', 'मा', 'एआई', 'प्रविधिको', 'प्रयोगले', 'सुधार', 'ल्याउने', 'अपेक्षा', '।']"
191,भारत मा प्रधानमन्त्री नयाँ कदम,फाइभजी को भ्रमण आर्थिक विकास नयाँ ढोका खोल्ने अपेक्षा गरिए छ।,1,"['भारत', 'मा', 'प्रधानमन्त्रीको', 'नयाँ', 'कदम']","['फाइभजी', 'को', 'भ्रमणले', 'आर्थिक', 'विकासको', 'नयाँ', 'ढोका', 'खोल्ने', 'अपेक्षा', 'गरिएको', 'छ', '।']"
192,क्रिकेट प्रविधि नयाँ प्रयोग,फाइभजी को सुरुवात भविष्य गति थप्नेछ।,1,"['क्रिकेट', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['फाइभजी', 'को', 'सुरुवातले', 'भविष्यमा', 'गति', 'थप्नेछ', '।']"
193,एआई ले नयाँ उपकरण सार्वजनिक गर्यो,भारत ले नयाँ उत्पाद बजार चकित पारे छ।,1,"['एआई', 'ले', 'नयाँ', 'उपकरण', 'सार्वजनिक', 'गर्यो']","['भारत', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
194,एआई मा नेपाल ऐतिहासिक जीत,ओलम्पिक खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,1,"['एआई', 'मा', 'नेपालको', 'ऐतिहासिक', 'जीत']","['ओलम्पिक', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
195,फाइभजी फाइनल खेल तयारी,एआई खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,1,"['फाइभजी', 'फाइनल', 'खेलको', 'तयारी']","['एआई', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
196,फाइभजी फाइनल खेल तयारी,एआई खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,0,"['फाइभजी', 'फाइनल', 'खेलको', 'तयारी']","['एआई', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
197,क्रिकेट नेटवर्क सुरुवात,फाइभजी मा एआई प्रविधि प्रयोग सुधार ल्याउने अपेक्षा।,0,"['क्रिकेट', 'नेटवर्कको', 'सुरुवात']","['फाइभजी', 'मा', 'एआई', 'प्रविधिको', 'प्रयोगले', 'सुधार', 'ल्याउने', 'अपेक्षा', '।']"
198,चीन सम्बन्ध नयाँ मस्यौदा,ओलम्पिक सम्बन्ध सरकार तर्फ चासो व्यक्त।,1,"['चीन', 'सम्बन्धमा', 'नयाँ', 'मस्यौदा']","['ओलम्पिक', 'सम्बन्धमा', 'सरकारको', 'तर्फबाट', 'चासो', 'व्यक्त', '।']"
199,चीन सम्बन्ध नयाँ मस्यौदा,ओलम्पिक को निर्णय व्यापक प्रतिक्रिया ल्याए छ।,1,"['चीन', 'सम्बन्धमा', 'नयाँ', 'मस्यौदा']","['ओलम्पिक', 'को', 'निर्णयले', 'व्यापक', 'प्रतिक्रिया', 'ल्याएको', 'छ', '।']"
200,भारत मा प्रधानमन्त्री नयाँ कदम,क्रिकेट को भ्रमण आर्थिक विकास नयाँ ढोका खोल्ने अपेक्षा गरिए छ।,1,"['भारत', 'मा', 'प्रधानमन्त्रीको', 'नयाँ', 'कदम']","['क्रिकेट', 'को', 'भ्रमणले', 'आर्थिक', 'विकासको', 'नयाँ', 'ढोका', 'खोल्ने', 'अपेक्षा', 'गरिएको', 'छ', '।']"
201,चीन सम्बन्ध नयाँ मस्यौदा,ओलम्पिक को भ्रमण आर्थिक विकास नयाँ ढोका खोल्ने अपेक्षा गरिए छ।,0,"['चीन', 'सम्बन्धमा', 'नयाँ', 'मस्यौदा']","['ओलम्पिक', 'को', 'भ्रमणले', 'आर्थिक', 'विकासको', 'नयाँ', 'ढोका', 'खोल्ने', 'अपेक्षा', 'गरिएको', 'छ', '।']"
202,क्रिकेट फाइनल खेल तयारी,भारत प्रतियोगिता नेपाल ऐतिहासिक प्रदर्शन।,0,"['क्रिकेट', 'फाइनल', 'खेलको', 'तयारी']","['भारत', 'प्रतियोगितामा', 'नेपालको', 'ऐतिहासिक', 'प्रदर्शन', '।']"
203,एआई ले नयाँ उपकरण सार्वजनिक गर्यो,क्रिकेट को सुरुवात भविष्य गति थप्नेछ।,0,"['एआई', 'ले', 'नयाँ', 'उपकरण', 'सार्वजनिक', 'गर्यो']","['क्रिकेट', 'को', 'सुरुवातले', 'भविष्यमा', 'गति', 'थप्नेछ', '।']"
204,एआई प्रविधि नयाँ प्रयोग,फाइभजी ले नयाँ उत्पाद बजार चकित पारे छ।,0,"['एआई', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['फाइभजी', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
205,चीन मा प्रधानमन्त्री नयाँ कदम,एआई सम्बन्ध सरकार तर्फ चासो व्यक्त।,0,"['चीन', 'मा', 'प्रधानमन्त्रीको', 'नयाँ', 'कदम']","['एआई', 'सम्बन्धमा', 'सरकारको', 'तर्फबाट', 'चासो', 'व्यक्त', '।']"
206,नेपाल फाइनल खेल तयारी,नेपाल खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,1,"['नेपाल', 'फाइनल', 'खेलको', 'तयारी']","['नेपाल', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
207,नेपाल फाइनल खेल तयारी,क्रिकेट प्रतियोगिता नेपाल ऐतिहासिक प्रदर्शन।,0,"['नेपाल', 'फाइनल', 'खेलको', 'तयारी']","['क्रिकेट', 'प्रतियोगितामा', 'नेपालको', 'ऐतिहासिक', 'प्रदर्शन', '।']"
208,भारत नेटवर्क सुरुवात,एआई मा एआई प्रविधि प्रयोग सुधार ल्याउने अपेक्षा।,0,"['भारत', 'नेटवर्कको', 'सुरुवात']","['एआई', 'मा', 'एआई', 'प्रविधिको', 'प्रयोगले', 'सुधार', 'ल्याउने', 'अपेक्षा', '।']"
209,ओलम्पिक ले नयाँ उपकरण सार्वजनिक गर्यो,एआई मा एआई प्रविधि प्रयोग सुधार ल्याउने अपेक्षा।,0,"['ओलम्पिक', 'ले', 'नयाँ', 'उपकरण', 'सार्वजनिक', 'गर्यो']","['एआई', 'मा', 'एआई', 'प्रविधिको', 'प्रयोगले', 'सुधार', 'ल्याउने', 'अपेक्षा', '।']"
210,क्रिकेट फाइनल खेल तयारी,ओलम्पिक प्रतियोगिता नेपाल ऐतिहासिक प्रदर्शन।,0,"['क्रिकेट', 'फाइनल', 'खेलको', 'तयारी']","['ओलम्पिक', 'प्रतियोगितामा', 'नेपालको', 'ऐतिहासिक', 'प्रदर्शन', '।']"
211,क्रिकेट मा नेपाल ऐतिहासिक जीत,फाइभजी खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,1,"['क्रिकेट', 'मा', 'नेपालको', 'ऐतिहासिक', 'जीत']","['फाइभजी', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
212,एआई नेटवर्क सुरुवात,नेपाल को सुरुवात भविष्य गति थप्नेछ।,0,"['एआई', 'नेटवर्कको', 'सुरुवात']","['नेपाल', 'को', 'सुरुवातले', 'भविष्यमा', 'गति', 'थप्नेछ', '।']"
213,फाइभजी सम्बन्ध नयाँ मस्यौदा,चीन को निर्णय व्यापक प्रतिक्रिया ल्याए छ।,0,"['फाइभजी', 'सम्बन्धमा', 'नयाँ', 'मस्यौदा']","['चीन', 'को', 'निर्णयले', 'व्यापक', 'प्रतिक्रिया', 'ल्याएको', 'छ', '।']"
214,भारत प्रविधि नयाँ प्रयोग,फाइभजी मा एआई प्रविधि प्रयोग सुधार ल्याउने अपेक्षा।,0,"['भारत', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['फाइभजी', 'मा', 'एआई', 'प्रविधिको', 'प्रयोगले', 'सुधार', 'ल्याउने', 'अपेक्षा', '।']"
215,क्रिकेट ले नयाँ उपकरण सार्वजनिक गर्यो,ओलम्पिक को सुरुवात भविष्य गति थप्नेछ।,1,"['क्रिकेट', 'ले', 'नयाँ', 'उपकरण', 'सार्वजनिक', 'गर्यो']","['ओलम्पिक', 'को', 'सुरुवातले', 'भविष्यमा', 'गति', 'थप्नेछ', '।']"
