id,title,body,notification_priority,title_tokens,body_tokens
286,ओलम्पिक संसद् बैठक स्थगित,भारत सम्बन्ध सरकार तर्फ चासो व्यक्त।,0,"['ओलम्पिक', 'संसद्', 'बैठक', 'स्थगित']","['भारत', 'सम्बन्धमा', 'सरकारको', 'तर्फबाट', 'चासो', 'व्यक्त', '।']"
287,एआई फाइनल खेल तयारी,क्रिकेट प्रतियोगिता नेपाल ऐतिहासिक प्रदर्शन।,1,"['एआई', 'फाइनल', 'खेलको', 'तयारी']","['क्रिकेट', 'प्रतियोगितामा', 'नेपालको', 'ऐतिहासिक', 'प्रदर्शन', '।']"
288,क्रिकेट मा नेपाल ऐतिहासिक जीत,भारत प्रतियोगिता नेपाल ऐतिहासिक प्रदर्शन।,0,"['क्रिकेट', 'मा', 'नेपालको', 'ऐतिहासिक', 'जीत']","['भारत', 'प्रतियोगितामा', 'नेपालको', 'ऐतिहासिक', 'प्रदर्शन', '।']"
289,क्रिकेट प्रविधि नयाँ प्रयोग,क्रिकेट ले नयाँ उत्पाद बजार चकित पारे छ।,1,"['क्रिकेट', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['क्रिकेट', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
290,भारत मा प्रधानमन्त्री नयाँ कदम,फाइभजी सम्बन्ध सरकार तर्फ चासो व्यक्त।,0,"['भारत', 'मा', 'प्रधानमन्त्रीको', 'नयाँ', 'कदम']","['फाइभजी', 'सम्बन्धमा', 'सरकारको', 'तर्फबाट', 'चासो', 'व्यक्त', '।']"
291,भारत ले नयाँ उपकरण सार्वजनिक गर्यो,फाइभजी ले नयाँ उत्पाद बजार चकित पारे छ।,0,"['भारत', 'ले', 'नयाँ', 'उपकरण', 'सार्वजनिक', 'गर्यो']","['फाइभजी', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
292,एआई खेलाडी स्वर्ण जिते,भारत खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,1,"['एआई', 'खेलाडीले', 'स्वर्ण', 'जिते']","['भारत', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
293,ओलम्पिक प्रविधि नयाँ प्रयोग,भारत मा एआई प्रविधि प्रयोग सुधार ल्याउने अपेक्षा।,0,"['ओलम्पिक', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['भारत', 'मा', 'एआई', 'प्रविधिको', 'प्रयोगले', 'सुधार', 'ल्याउने', 'अपेक्षा', '।']"
294,नेपाल खेलाडी स्वर्ण जिते,ओलम्पिक खेल दर्शक ध्यान ताने छ।,0,"['नेपाल', 'खेलाडीले', 'स्वर्ण', 'जिते']","['ओलम्पिक', 'खेलले', 'दर्शकको', 'ध्यान', 'तानेको', 'छ', '।']"
295,फाइभजी मा प्रधानमन्त्री नयाँ कदम,ओलम्पिक को निर्णय व्यापक प्रतिक्रिया ल्याए छ।,0,"['फाइभजी', 'मा', 'प्रधानमन्त्रीको', 'नयाँ', 'कदम']","['ओलम्पिक', 'को', 'निर्णयले', 'व्यापक', 'प्रतिक्रिया', 'ल्याएको', 'छ', '।']"
296,एआई फाइनल खेल तयारी,चीन खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,1,"['एआई', 'फाइनल', 'खेलको', 'तयारी']","['चीन', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
297,ओलम्पिक प्रविधि नयाँ प्रयोग,फाइभजी ले नयाँ उत्पाद बजार चकित पारे छ।,1,"['ओलम्पिक', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['फाइभजी', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
298,ओलम्पिक मा प्रधानमन्त्री नयाँ कदम,ओलम्पिक को भ्रमण आर्थिक विकास नयाँ ढोका खोल्ने अपेक्षा गरिए छ।,0,"['ओलम्पिक', 'मा', 'प्रधानमन्त्रीको', 'नयाँ', 'कदम']","['ओलम्पिक', 'को', 'भ्रमणले', 'आर्थिक', 'विकासको', 'नयाँ', 'ढोका', 'खोल्ने', 'अपेक्षा', 'गरिएको', 'छ', '।']"
299,एआई फाइनल खेल तयारी,भारत प्रतियोगिता नेपाल ऐतिहासिक प्रदर्शन।,1,"['एआई', 'फाइनल', 'खेलको', 'तयारी']","['भारत', 'प्रतियोगितामा', 'नेपालको', 'ऐतिहासिक', 'प्रदर्शन', '।']"
300,क्रिकेट फाइनल खेल तयारी,भारत खेल दर्शक ध्यान ताने छ।,1,"['क्रिकेट', 'फाइनल', 'खेलको', 'तयारी']","['भारत', 'खेलले', 'दर्शकको', 'ध्यान', 'तानेको', 'छ', '।']"
301,फाइभजी संसद् बैठक स्थगित,क्रिकेट को भ्रमण आर्थिक विकास नयाँ ढोका खोल्ने अपेक्षा गरिए छ।,0,"['फाइभजी', 'संसद्', 'बैठक', 'स्थगित']","['क्रिकेट', 'को', 'भ्रमणले', 'आर्थिक', 'विकासको', 'नयाँ', 'ढोका', 'खोल्ने', 'अपेक्षा', 'गरिएको', 'छ', '।']"
302,एआई ले नयाँ उपकरण सार्वजनिक गर्यो,क्रिकेट ले नयाँ उत्पाद बजार चकित पारे छ।,0,"['एआई', 'ले', 'नयाँ', 'उपकरण', 'सार्वजनिक', 'गर्यो']","['क्रिकेट', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
303,चीन ले नयाँ उपकरण सार्वजनिक गर्यो,क्रिकेट मा एआई प्रविधि प्रयोग सुधार ल्याउने अपेक्षा।,1,"['चीन', 'ले', 'नयाँ', 'उपकरण', 'सार्वजनिक', 'गर्यो']","['क्रिकेट', 'मा', 'एआई', 'प्रविधिको', 'प्रयोगले', 'सुधार', 'ल्याउने', 'अपेक्षा', '।']"
304,एआई प्रविधि नयाँ प्रयोग,ओलम्पिक मा एआई प्रविधि प्रयोग सुधार ल्याउने अपेक्षा।,0,"['एआई', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['ओलम्पिक', 'मा', 'एआई', 'प्रविधिको', 'प्रयोगले', 'सुधार', 'ल्याउने', 'अपेक्षा', '।']"
305,क्रिकेट खेलाडी स्वर्ण जिते,चीन खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,0,"['क्रिकेट', 'खेलाडीले', 'स्वर्ण', 'जिते']","['चीन', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
306,एआई सम्बन्ध नयाँ मस्यौदा,एआई को निर्णय व्यापक प्रतिक्रिया ल्याए छ।,0,"['एआई', 'सम्बन्धमा', 'नयाँ', 'मस्यौदा']","['एआई', 'को', 'निर्णयले', 'व्यापक', 'प्रतिक्रिया', 'ल्याएको', 'छ', '।']"
307,चीन संसद् बैठक स्थगित,भारत को निर्णय व्यापक प्रतिक्रिया ल्याए छ।,1,"['चीन', 'संसद्', 'बैठक', 'स्थगित']","['भारत', 'को', 'निर्णयले', 'व्यापक', 'प्रतिक्रिया', 'ल्याएको', 'छ', '।']"
308,एआई फाइनल खेल तयारी,भारत खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,0,"['एआई', 'फाइनल', 'खेलको', 'तयारी']","['भारत', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
309,क्रिकेट संसद् बैठक स्थगित,भारत को निर्णय व्यापक प्रतिक्रिया ल्याए छ।,1,"['क्रिकेट', 'संसद्', 'बैठक', 'स्थगित']","['भारत', 'को', 'निर्णयले', 'व्यापक', 'प्रतिक्रिया', 'ल्याएको', 'छ', '।']"
310,चीन खेलाडी स्वर्ण जिते,क्रिकेट खेल दर्शक ध्यान ताने छ।,0,"['चीन', 'खेलाडीले', 'स्वर्ण', 'जिते']","['क्रिकेट', 'खेलले', 'दर्शकको', 'ध्यान', 'तानेको', 'छ', '।']"
311,नेपाल फाइनल खेल तयारी,फाइभजी खेल दर्शक ध्यान ताने छ।,0,"['नेपाल', 'फाइनल', 'खेलको', 'तयारी']","['फाइभजी', 'खेलले', 'दर्शकको', 'ध्यान', 'तानेको', 'छ', '।']"
312,एआई ले नयाँ उपकरण सार्वजनिक गर्यो,चीन को सुरुवात भविष्य गति थप्नेछ।,1,"['एआई', 'ले', 'नयाँ', 'उपकरण', 'सार्वजनिक', 'गर्यो']","['चीन', 'को', 'सुरुवातले', 'भविष्यमा', 'गति', 'थप्नेछ', '।']"
313,नेपाल ले नयाँ उपकरण सार्वजनिक गर्यो,क्रिकेट मा एआई प्रविधि प्रयोग सुधार ल्याउने अपेक्षा।,0,"['नेपाल', 'ले', 'नयाँ', 'उपकरण', 'सार्वजनिक', 'गर्यो']","['क्रिकेट', 'मा', 'एआई', 'प्रविधिको', 'प्रयोगले', 'सुधार', 'ल्याउने', 'अपेक्षा', '।']"
314,एआई नेटवर्क सुरुवात,नेपाल को सुरुवात भविष्य गति थप्नेछ।,0,"['एआई', 'नेटवर्कको', 'सुरुवात']","['नेपाल', 'को', 'सुरुवातले', 'भविष्यमा', 'गति', 'थप्नेछ', '।']"
315,भारत प्रविधि नयाँ प्रयोग,भारत मा एआई प्रविधि प्रयोग सुधार ल्याउने अपेक्षा।,0,"['भारत', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['भारत', 'मा', 'एआई', 'प्रविधिको', 'प्रयोगले', 'सुधार', 'ल्याउने', 'अपेक्षा', '।']"
316,क्रिकेट मा नेपाल ऐतिहासिक जीत,चीन प्रतियोगिता नेपाल ऐतिहासिक प्रदर्शन।,0,"['क्रिकेट', 'मा', 'नेपालको', 'ऐतिहासिक', 'जीत']","['चीन', 'प्रतियोगितामा', 'नेपालको', 'ऐतिहासिक', 'प्रदर्शन', '।']"
317,नेपाल संसद् बैठक स्थगित,चीन सम्बन्ध सरकार तर्फ चासो व्यक्त।,0,"['नेपाल', 'संसद्', 'बैठक', 'स्थगित']","['चीन', 'सम्बन्धमा', 'सरकारको', 'तर्फबाट', 'चासो', 'व्यक्त', '।']"
318,क्रिकेट नेटवर्क सुरुवात,नेपाल ले नयाँ उत्पाद बजार चकित पारे छ।,0,"['क्रिकेट', 'नेटवर्कको', 'सुरुवात']","['नेपाल', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
319,फाइभजी फाइनल खेल तयारी,ओलम्पिक खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,1,"['फाइभजी', 'फाइनल', 'खेलको', 'तयारी']","['ओलम्पिक', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
320,क्रिकेट सम्बन्ध नयाँ मस्यौदा,क्रिकेट सम्बन्ध सरकार तर्फ चासो व्यक्त।,1,"['क्रिकेट', 'सम्बन्धमा', 'नयाँ', 'मस्यौदा']","['क्रिकेट', 'सम्बन्धमा', 'सरकारको', 'तर्फबाट', 'चासो', 'व्यक्त', '।']"
321,भारत ले नयाँ उपकरण सार्वजनिक गर्यो,चीन को सुरुवात भविष्य गति थप्नेछ।,1,"['भारत', 'ले', 'नयाँ', 'उपकरण', 'सार्वजनिक', 'गर्यो']","['चीन', 'को', 'सुरुवातले', 'भविष्यमा', 'गति', 'थप्नेछ', '।']"
322,नेपाल मा नेपाल ऐतिहासिक जीत,नेपाल प्रतियोगिता नेपाल ऐतिहासिक प्रदर्शन।,0,"['नेपाल', 'मा', 'नेपालको', 'ऐतिहासिक', 'जीत']","['नेपाल', 'प्रतियोगितामा', 'नेपालको', 'ऐतिहासिक', 'प्रदर्शन', '।']"
323,नेपाल संसद् बैठक स्थगित,फाइभजी को निर्णय व्यापक प्रतिक्रिया ल्याए छ।,1,"['नेपाल', 'संसद्', 'बैठक', 'स्थगित']","['फाइभजी', 'को', 'निर्णयले', 'व्यापक', 'प्रतिक्रिया', 'ल्याएको', 'छ', '।']"
324,भारत प्रविधि नयाँ प्रयोग,क्रिकेट ले नयाँ उत्पाद बजार चकित पारे छ।,0,"['भारत', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['क्रिकेट', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
325,चीन नेटवर्क सुरुवात,ओलम्पिक को सुरुवात भविष्य गति थप्नेछ।,1,"['चीन', 'नेटवर्कको', 'सुरुवात']","['ओलम्पिक', 'को', 'सुरुवातले', 'भविष्यमा', 'गति', 'थप्नेछ', '।']"
326,फाइभजी सम्बन्ध नयाँ मस्यौदा,क्रिकेट को भ्रमण आर्थिक विकास नयाँ ढोका खोल्ने अपेक्षा गरिए छ।,0,"['फाइभजी', 'सम्बन्धमा', 'नयाँ', 'मस्यौदा']","['क्रिकेट', 'को', 'भ्रमणले', 'आर्थिक', 'विकासको', 'नयाँ', 'ढोका', 'खोल्ने', 'अपेक्षा', 'गरिएको', 'छ', '।']"
327,फाइभजी फाइनल खेल तयारी,नेपाल खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,0,"['फाइभजी', 'फाइनल', 'खेलको', 'तयारी']","['नेपाल', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
328,भारत फाइनल खेल तयारी,भारत प्रतियोगिता नेपाल ऐतिहासिक प्रदर्शन।,1,"['भारत', 'फाइनल', 'खेलको', 'तयारी']","['भारत', 'प्रतियोगितामा', 'नेपालको', 'ऐतिहासिक', 'प्रदर्शन', '।']"
329,चीन संसद् बैठक स्थगित,ओलम्पिक को निर्णय व्यापक प्रतिक्रिया ल्याए छ।,1,"['चीन', 'संसद्', 'बैठक', 'स्थगित']","['ओलम्पिक', 'को', 'निर्णयले', 'व्यापक', 'प्रतिक्रिया', 'ल्याएको', 'छ', '।']"
330,फाइभजी फाइनल खेल तयारी,नेपाल खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,0,"['फाइभजी', 'फाइनल', 'खेलको', 'तयारी']","['नेपाल', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
331,क्रिकेट संसद् बैठक स्थगित,भारत सम्बन्ध सरकार तर्फ चासो व्यक्त।,0,"['क्रिकेट', 'संसद्', 'बैठक', 'स्थगित']","['भारत', 'सम्बन्धमा', 'सरकारको', 'तर्फबाट', 'चासो', 'व्यक्त', '।']"
332,नेपाल संसद् बैठक स्थगित,एआई सम्बन्ध सरकार तर्फ चासो व्यक्त।,1,"['नेपाल', 'संसद्', 'बैठक', 'स्थगित']","['एआई', 'सम्बन्धमा', 'सरकारको', 'तर्फबाट', 'चासो', 'व्यक्त', '।']"
333,एआई मा नेपाल ऐतिहासिक जीत,भारत खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,1,"['एआई', 'मा', 'नेपालको', 'ऐतिहासिक', 'जीत']","['भारत', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
334,क्रिकेट खेलाडी स्वर्ण जिते,एआई प्रतियोगिता नेपाल ऐतिहासिक प्रदर्शन।,0,"['क्रिकेट', 'खेलाडीले', 'स्वर्ण', 'जिते']","['एआई', 'प्रतियोगितामा', 'नेपालको', 'ऐतिहासिक', 'प्रदर्शन', '।']"
335,ओलम्पिक नेटवर्क सुरुवात,फाइभजी ले नयाँ उत्पाद बजार चकित पारे छ।,1,"['ओलम्पिक', 'नेटवर्कको', 'सुरुवात']","['फाइभजी', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
336,फाइभजी संसद् बैठक स्थगित,फाइभजी को भ्रमण आर्थिक विकास नयाँ ढोका खोल्ने अपेक्षा गरिए छ।,1,"['फाइभजी', 'संसद्', 'बैठक', 'स्थगित']","['फाइभजी', 'को', 'भ्रमणले', 'आर्थिक', 'विकासको', 'नयाँ', 'ढोका', 'खोल्ने', 'अपेक्षा', 'गरिएको', 'छ', '।']"
337,ओलम्पिक प्रविधि नयाँ प्रयोग,चीन मा एआई प्रविधि प्रयोग सुधार ल्याउने अपेक्षा।,0,"['ओलम्पिक', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['चीन', 'मा', 'एआई', 'प्रविधिको', 'प्रयोगले', 'सुधार', 'ल्याउने', 'अपेक्षा', '।']"
338,नेपाल नेटवर्क सुरुवात,फाइभजी को सुरुवात भविष्य गति थप्नेछ।,0,"['नेपाल', 'नेटवर्कको', 'सुरुवात']","['फाइभजी', 'को', 'सुरुवातले', 'भविष्यमा', 'गति', 'थप्नेछ', '।']"
339,नेपाल मा नेपाल ऐतिहासिक जीत,चीन प्रतियोगिता नेपाल ऐतिहासिक प्रदर्शन।,0,"['नेपाल', 'मा', 'नेपालको', 'ऐतिहासिक', 'जीत']","['चीन', 'प्रतियोगितामा', 'नेपालको', 'ऐतिहासिक', 'प्रदर्शन', '।']"
340,एआई संसद् बैठक स्थगित,एआई को भ्रमण आर्थिक विकास नयाँ ढोका खोल्ने अपेक्षा गरिए छ।,1,"['एआई', 'संसद्', 'बैठक', 'स्थगित']","['एआई', 'को', 'भ्रमणले', 'आर्थिक', 'विकासको', 'नयाँ', 'ढोका', 'खोल्ने', 'अपेक्षा', 'गरिएको', 'छ', '।']"
341,नेपाल नेटवर्क सुरुवात,नेपाल ले नयाँ उत्पाद बजार चकित पारे छ।,0,"['नेपाल', 'नेटवर्कको', 'सुरुवात']","['नेपाल', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
342,ओलम्पिक ले नयाँ उपकरण सार्वजनिक गर्यो,नेपाल ले नयाँ उत्पाद बजार चकित पारे छ।,1,"['ओलम्पिक', 'ले', 'नयाँ', 'उपकरण', 'सार्वजनिक', 'गर्यो']","['नेपाल', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
343,भारत नेटवर्क सुरुवात,नेपाल ले नयाँ उत्पाद बजार चकित पारे छ।,1,"['भारत', 'नेटवर्कको', 'सुरुवात']","['नेपाल', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
344,क्रिकेट फाइनल खेल तयारी,भारत खेल दर्शक ध्यान ताने छ।,0,"['क्रिकेट', 'फाइनल', 'खेलको', 'तयारी']","['भारत', 'खेलले', 'दर्शकको', 'ध्यान', 'तानेको', 'छ', '।']"
345,नेपाल खेलाडी स्वर्ण जिते,नेपाल खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,0,"['नेपाल', 'खेलाडीले', 'स्वर्ण', 'जिते']","['नेपाल', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
346,चीन सम्बन्ध नयाँ मस्यौदा,भारत सम्बन्ध सरकार तर्फ चासो व्यक्त।,0,"['चीन', 'सम्बन्धमा', 'नयाँ', 'मस्यौदा']","['भारत', 'सम्बन्धमा', 'सरकारको', 'तर्फबाट', 'चासो', 'व्यक्त', '।']"
347,नेपाल खेलाडी स्वर्ण जिते,नेपाल खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,0,"['नेपाल', 'खेलाडीले', 'स्वर्ण', 'जिते']","['नेपाल', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
348,ओलम्पिक प्रविधि नयाँ प्रयोग,भारत मा एआई प्रविधि प्रयोग सुधार ल्याउने अपेक्षा।,1,"['ओलम्पिक', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['भारत', 'मा', 'एआई', 'प्रविधिको', 'प्रयोगले', 'सुधार', 'ल्याउने', 'अपेक्षा', '।']"
349,फाइभजी ले नयाँ उपकरण सार्वजनिक गर्यो,एआई ले नयाँ उत्पाद बजार चकित पारे छ।,1,"['फाइभजी', 'ले', 'नयाँ', 'उपकरण', 'सार्वजनिक', 'गर्यो']","['एआई', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
350,एआई मा नेपाल ऐतिहासिक जीत,भारत खेल दर्शक ध्यान ताने छ।,1,"['एआई', 'मा', 'नेपालको', 'ऐतिहासिक', 'जीत']","['भारत', 'खेलले', 'दर्शकको', 'ध्यान', 'तानेको', 'छ', '।']"
351,एआई सम्बन्ध नयाँ मस्यौदा,चीन सम्बन्ध सरकार तर्फ चासो व्यक्त।,1,"['एआई', 'सम्बन्धमा', 'नयाँ', 'मस्यौदा']","['चीन', 'सम्बन्धमा', 'सरकारको', 'तर्फबाट', 'चासो', 'व्यक्त', '।']"
352,नेपाल सम्बन्ध नयाँ मस्यौदा,क्रिकेट को निर्णय व्यापक प्रतिक्रिया ल्याए छ।,0,"['नेपाल', 'सम्बन्धमा', 'नयाँ', 'मस्यौदा']","['क्रिकेट', 'को', 'निर्णयले', 'व्यापक', 'प्रतिक्रिया', 'ल्याएको', 'छ', '।']"
353,ओलम्पिक खेलाडी स्वर्ण जिते,एआई प्रतियोगिता नेपाल ऐतिहासिक प्रदर्शन।,0,"['ओलम्पिक', 'खेलाडीले', 'स्वर्ण', 'जिते']","['एआई', 'प्रतियोगितामा', 'नेपालको', 'ऐतिहासिक', 'प्रदर्शन', '।']"
354,नेपाल प्रविधि नयाँ प्रयोग,भारत को सुरुवात भविष्य गति थप्नेछ।,1,"['नेपाल', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['भारत', 'को', 'सुरुवातले', 'भविष्यमा', 'गति', 'थप्नेछ', '।']"
355,नेपाल मा प्रधानमन्त्री नयाँ कदम,चीन को निर्णय व्यापक प्रतिक्रिया ल्याए छ।,0,"['नेपाल', 'मा', 'प्रधानमन्त्रीको', 'नयाँ', 'कदम']","['चीन', 'को', 'निर्णयले', 'व्यापक', 'प्रतिक्रिया', 'ल्याएको', 'छ', '।']"
356,फाइभजी मा नेपाल ऐतिहासिक जीत,ओलम्पिक खेलाडी मेहनत स्वर्ण पदक नेपाल दिलायो।,1,"['फाइभजी', 'मा', 'नेपालको', 'ऐतिहासिक', 'जीत']","['ओलम्पिक', 'खेलाडीको', 'मेहनतले', 'स्वर्ण', 'पदक', 'नेपाललाई', 'दिलायो', '।']"
357,ओलम्पिक प्रविधि नयाँ प्रयोग,नेपाल ले नयाँ उत्पाद बजार चकित पारे छ।,1,"['ओलम्पिक', 'प्रविधिको', 'नयाँ', 'प्रयोग']","['नेपाल', 'ले', 'नयाँ', 'उत्पादले', 'बजारलाई', 'चकित', 'पारेको', 'छ', '।']"
358,फाइभजी ले नयाँ उपकरण सार्वजनिक गर्यो,ओलम्पिक को सुरुवात भविष्य गति थप्नेछ।,1,"['फाइभजी', 'ले', 'नयाँ', 'उपकरण', 'सार्वजनिक', 'गर्यो']","['ओलम्पिक', 'को', 'सुरुवातले', 'भविष्यमा', 'गति', 'थप्नेछ', '।']"
